Rammys attacks	Damage on impact	Cooldown	Effects	Range	Free variable	Attack time	Total attack time	Splash radius	Attack degree	Raw DPS	DPS with cooldown	Attack time with cooldown		Free variable explenation
Multiplier	1.4													
Headbutt	7	1	Knockback	0.6	0	0.25	0.25	0	90	28.00	5.60	1.25		
Dash	1.4	1	Knockback	10	0	0.25	0	0	90	5.6	1.12	1.25		
Charge Dash	14	0.5	Push. Knockback	15	0.5	0.25	0.8	1	180	18.67	11.20	1.25		
Stomp AOE	14	10	Knockback.Stun	5	0	0.5	0.5	5	360	28.00	1.33	10.5		
Horn spin	0	0	Knockback	8	0	0.5	0.5	2	360	0.0	0.00	0.5		
Horn pull	7	5	Pull. Stun	8	0	0.5	0.5	8	360	14.00	1.27	5.5		
Horn sweep	0	0	Knockback	6	0	0.3	0	6	180	0	0.00	0.3		
Body slam	0	0	Knockback	17	0	0.5	1	2	90	0	0.00	0.5		
Multiplier	1.5													
Headbutt	7.5	1	Knockback	0.6	0	0.25	0.25	0	90	30.00	6.00	1.25		
Dash	1.5	1	Knockback	10	0	0.25	0	0	90	6	1.20	1.25		
Charge Dash	15	0.5	Push. Knockback	15	0.5	0.25	0.8	1	180	20.00	12.00	1.25		
Stomp AOE	15	10	Knockback.Stun	5	0	0.5	0.5	5	360	30.00	1.43	10.5		
Horn spin	0	0	Knockback	8	0	0.5	0.5	2	360	0.0	0.00	0.5		
Horn pull	7.5	5	Pull. Stun	8	0	0.5	0.5	8	360	15.00	1.36	5.5		
Horn sweep	0	0	Knockback	6	0	0.3	0	6	180	0	0.00	0.3		
Body slam	0	0	Knockback	17	0	0.5	1	2	90	0	0.00	0.5		
Multiplier	1.6													
Headbutt	8	1	Knockback	0.6	0	0.25	0.25	0	90	32.00	6.40	1.25		
Dash	1.6	1	Knockback	10	0	0.25	0	0	90	6.4	1.28	1.25		
Charge Dash	16	0.5	Push. Knockback	15	0.5	0.25	0.8	1	180	21.33	12.80	1.25		
Stomp AOE	16	10	Knockback.Stun	5	0	0.5	0.5	5	360	32.00	1.52	10.5		
Horn spin	0	0	Knockback	8	0	0.5	0.5	2	360	0.0	0.00	0.5		
Horn pull	8	5	Pull. Stun	8	0	0.5	0.5	8	360	16.00	1.45	5.5		
Horn sweep	0	0	Knockback	6	0	0.3	0	6	180	0	0.00	0.3		
Body slam	0	0	Knockback	17	0	0.5	1	2	90	0	0.00	0.5		
Multiplier	1.7													
Headbutt	8.5	1	Knockback	0.6	0	0.25	0.25	0	90	34.00	6.80	1.25		
Dash	1.7	1	Knockback	10	0	0.25	0	0	90	6.8	1.36	1.25		
Charge Dash	17	0.5	Push. Knockback	15	0.5	0.25	0.8	1	180	22.67	13.60	1.25		
Stomp AOE	17	10	Knockback.Stun	5	0	0.5	0.5	5	360	34.00	1.62	10.5		
Horn spin	0	0	Knockback	8	0	0.5	0.5	2	360	0.0	0.00	0.5		
Horn pull	8.5	5	Pull. Stun	8	0	0.5	0.5	8	360	17.00	1.55	5.5		
Horn sweep	0	0	Knockback	6	0	0.3	0	6	180	0	0.00	0.3		
Body slam	0	0	Knockback	17	0	0.5	1	2	90	0	0.00	0.5		
Multiplier	1.8													
Headbutt	9	1	Knockback	0.6	0	0.25	0.25	0	90	36.00	7.20	1.25		
Dash	1.8	1	Knockback	10	0	0.25	0	0	90	7.2	1.44	1.25		
Charge Dash	18	0.5	Push. Knockback	15	0.5	0.25	0.8	1	180	24.00	14.40	1.25		
Stomp AOE	18	10	Knockback.Stun	5	0	0.5	0.5	5	360	36.00	1.71	10.5		
Horn spin	0	0	Knockback	8	0	0.5	0.5	2	360	0.0	0.00	0.5		
Horn pull	9	5	Pull. Stun	8	0	0.5	0.5	8	360	18.00	1.64	5.5		
Horn sweep	0	0	Knockback	6	0	0.3	0	6	180	0	0.00	0.3		
Body slam	0	0	Knockback	17	0	0.5	1	2	90	0	0.00	0.5		
Multiplier	1.9													
Headbutt	9.5	1	Knockback	0.6	0	0.25	0.25	0	90	38.00	7.60	1.25		
Dash	1.9	1	Knockback	10	0	0.25	0	0	90	7.6	1.52	1.25		
Charge Dash	19	0.5	Push. Knockback	15	0.5	0.25	0.8	1	180	25.33	15.20	1.25		
Stomp AOE	19	10	Knockback.Stun	5	0	0.5	0.5	5	360	38.00	1.81	10.5		
Horn spin	0	0	Knockback	8	0	0.5	0.5	2	360	0.0	0.00	0.5		
Horn pull	9.5	5	Pull. Stun	8	0	0.5	0.5	8	360	19.00	1.73	5.5		
Horn sweep	0	0	Knockback	6	0	0.3	0	6	180	0	0.00	0.3		
Body slam	0	0	Knockback	17	0	0.5	1	2	90	0	0.00	0.5		
Multiplier	2													
Headbutt	10	1	Knockback	0.6	0	0.25	0.25	0	90	40.00	8.00	1.25		
Dash	2	1	Knockback	10	0	0.25	0	0	90	8	1.60	1.25		
Charge Dash	20	0.5	Push. Knockback	15	0.5	0.25	0.8	1	180	26.67	16.00	1.25		
Stomp AOE	20	10	Knockback.Stun	5	0	0.5	0.5	5	360	40.00	1.90	10.5		
Horn spin	0	0	Knockback	8	0	0.5	0.5	2	360	0.0	0.00	0.5		
Horn pull	10	5	Pull. Stun	8	0	0.5	0.5	8	360	20.00	1.82	5.5		
Horn sweep	0	0	Knockback	6	0	0.3	0	6	180	0	0.00	0.3		
Body slam	0	0	Knockback	17	0	0.5	1	2	90	0	0.00	0.5		
														
														
														
Upgraded attacks	Damage on impact	Cooldown	Effects	Range	Anticipation time	Attack time	Total attack time	Splash radius	Attack degree	Raw DPS	DPS with cooldown	Attack time with cooldown		
Multiplier	1.2													
Charge Dash+	12	0.5	Push. Knockback. Mud slide	20	1	0.25	1.25	2	180	9.6	6.86	1.75		
Stomp AOE+	24	5	Knockback. Stun	10	0	0.5	0.5	5	360	48.00	4.36	5.5		
Horn spin+	0	0	Knockback	16	0	0.5	0.5	2	360	0.00	0.00	0.5		
Horn pull+	6	5	Pull. Stun	16	0	0.5	0.5	16	360	12	1.09	5.5		
Horn sweep+	0	0	Knockback	12	0	0.3	0.3	12	180	0	0.00	0.3		
Body slam+	0	0	Knockback	25	0	0.5	0.5	5	90	0	0.00	0.5		
Multiplier	1.3													
Charge Dash+	13	0.5	Push. Knockback. Mud slide	20	1	0.25	1.25	2	180	10.4	7.43	1.75		
Stomp AOE+	26	5	Knockback. Stun	10	0	0.5	0.5	5	360	52.00	4.73	5.5		
Horn spin+	0	0	Knockback	16	0	0.5	0.5	2	360	0.00	0.00	0.5		
Horn pull+	6.5	5	Pull. Stun	16	0	0.5	0.5	16	360	13	1.18	5.5		
Horn sweep+	0	0	Knockback	12	0	0.3	0.3	12	180	0	0.00	0.3		
Body slam+	0	0	Knockback	25	0	0.5	0.5	5	90	0	0.00	0.5		
Multiplier	1.4													
Charge Dash+	14	0.5	Push. Knockback. Mud slide	20	1	0.25	1.25	2	180	11.2	8.00	1.75		
Stomp AOE+	28	5	Knockback. Stun	10	0	0.5	0.5	5	360	56.00	5.09	5.5		
Horn spin+	0	0	Knockback	16	0	0.5	0.5	2	360	0.00	0.00	0.5		
Horn pull+	7	5	Pull. Stun	16	0	0.5	0.5	16	360	14	1.27	5.5		
Horn sweep+	0	0	Knockback	12	0	0.3	0.3	12	180	0	0.00	0.3		
Body slam+	0	0	Knockback	25	0	0.5	0.5	5	90	0	0.00	0.5		
Multiplier	1.5													
Charge Dash+	15	0.5	Push. Knockback. Mud slide	20	1	0.25	1.25	2	180	12	8.57	1.75		
Stomp AOE+	30	5	Knockback. Stun	10	0	0.5	0.5	5	360	60.00	5.45	5.5		
Horn spin+	0	0	Knockback	16	0	0.5	0.5	2	360	0.00	0.00	0.5		
Horn pull+	7.5	5	Pull. Stun	16	0	0.5	0.5	16	360	15	1.36	5.5		
Horn sweep+	0	0	Knockback	12	0	0.3	0.3	12	180	0	0.00	0.3		
Body slam+	0	0	Knockback	25	0	0.5	0.5	5	90	0	0.00	0.5		
Multiplier	1.6													
Charge Dash+	16	0.5	Push. Knockback. Mud slide	20	1	0.25	1.25	2	180	12.8	9.14	1.75		
Stomp AOE+	32	5	Knockback. Stun	10	0	0.5	0.5	5	360	64.00	5.82	5.5		
Horn spin+	0	0	Knockback	16	0	0.5	0.5	2	360	0.00	0.00	0.5		
Horn pull+	8	5	Pull. Stun	16	0	0.5	0.5	16	360	16	1.45	5.5		
Horn sweep+	0	0	Knockback	12	0	0.3	0.3	12	180	0	0.00	0.3		
Body slam+	0	0	Knockback	25	0	0.5	0.5	5	90	0	0.00	0.5		
Multiplier	1.7													
Charge Dash+	17	0.5	Push. Knockback. Mud slide	20	1	0.25	1.25	2	180	13.6	9.71	1.75		
Stomp AOE+	34	5	Knockback. Stun	10	0	0.5	0.5	5	360	68.00	6.18	5.5		
Horn spin+	0	0	Knockback	16	0	0.5	0.5	2	360	0.00	0.00	0.5		
Horn pull+	8.5	5	Pull. Stun	16	0	0.5	0.5	16	360	17	1.55	5.5		
Horn sweep+	0	0	Knockback	12	0	0.3	0.3	12	180	0	0.00	0.3		
Body slam+	0	0	Knockback	25	0	0.5	0.5	5	90	0	0.00	0.5		
Multiplier	1.8													
Charge Dash+	18	0.5	Push. Knockback. Mud slide	20	1	0.25	1.25	2	180	14.4	10.29	1.75		
Stomp AOE+	36	5	Knockback. Stun	10	0	0.5	0.5	5	360	72.00	6.55	5.5		
Horn spin+	0	0	Knockback	16	0	0.5	0.5	2	360	0.00	0.00	0.5		
Horn pull+	9	5	Pull. Stun	16	0	0.5	0.5	16	360	18	1.64	5.5		
Horn sweep+	0	0	Knockback	12	0	0.3	0.3	12	180	0	0.00	0.3		
Body slam+	0	0	Knockback	25	0	0.5	0.5	5	90	0	0.00	0.5		
Multiplier	1.9													
Charge Dash+	19	0.5	Push. Knockback. Mud slide	20	1	0.25	1.25	2	180	15.2	10.86	1.75		
Stomp AOE+	38	5	Knockback. Stun	10	0	0.5	0.5	5	360	76.00	6.91	5.5		
Horn spin+	0	0	Knockback	16	0	0.5	0.5	2	360	0.00	0.00	0.5		
Horn pull+	9.5	5	Pull. Stun	16	0	0.5	0.5	16	360	19	1.73	5.5		
Horn sweep+	0	0	Knockback	12	0	0.3	0.3	12	180	0	0.00	0.3		
Body slam+	0	0	Knockback	25	0	0.5	0.5	5	90	0	0.00	0.5		
Multiplier	2													
Charge Dash+	20	0.5	Push. Knockback. Mud slide	20	1	0.25	1.25	2	180	16	11.42857143	1.75		
Stomp AOE+	40	5	Knockback. Stun	10	0	0.5	0.5	5	360	80.00	7.27	5.5		
Horn spin+	0	0	Knockback	16	0	0.5	0.5	2	360	0.00	0.00	0.5		
Horn pull+	10	5	Pull. Stun	16	0	0.5	0.5	16	360	20	1.82	5.5		
Horn sweep+	0	0	Knockback	12	0	0.3	0.3	12	180	0	0.00	0.3		
Body slam+	0	0	Knockback	25	0	0.5	0.5	5	90	0	0.00	0.5		
